epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3031,1.71809,4.33821,1.48084,0.00145,0.5,0.00483,0.00127,1.97444,6.3606,1.90073,0,0,0
2,13.8563,2.23812,5.84379,2.1404,0.00145,0.5,0.00483,0.00129,1.93959,6.28512,1.89366,1.40542e-05,1.40542e-05,1.40542e-05
3,14.4431,2.10497,4.98884,1.92877,0.00143,0.5,0.00497,0.00207,1.93894,6.20905,1.89158,2.76369e-05,2.76369e-05,2.76369e-05
4,14.9644,2.03225,6.17961,1.80538,0.00142,0.5,0.00518,0.00245,1.92752,6.18008,1.87995,4.07479e-05,4.07479e-05,4.07479e-05
5,15.4375,2.07148,5.61651,1.81756,0.00139,0.5,0.00553,0.00276,1.91504,6.15499,1.87335,5.33874e-05,5.33874e-05,5.33874e-05
6,15.875,1.89599,5.21851,1.81321,0.00136,0.5,0.00535,0.00312,1.8983,6.13309,1.86475,6.55554e-05,6.55554e-05,6.55554e-05
7,16.4519,2.2599,5.18535,1.7516,0.00134,0.5,0.00578,0.00116,1.45125,5.11976,1.59252,7.72517e-05,7.72517e-05,7.72517e-05
8,17.0938,1.59301,4.86486,1.458,0.0062,0.66667,0.06321,0.0138,1.66895,4.61048,1.56674,8.84765e-05,8.84765e-05,8.84765e-05
9,17.8274,1.56022,3.44192,1.37346,0.03487,0.66667,0.1793,0.07085,2.08788,4.55924,1.61032,9.92298e-05,9.92298e-05,9.92298e-05
10,18.5622,1.93662,3.36915,1.52074,0.79101,0.16667,0.27434,0.1434,1.98289,5.28836,1.64705,0.000109511,0.000109511,0.000109511
11,22.1021,1.46544,2.7237,1.24603,0.71833,0.33333,0.31525,0.13952,1.8605,5.48635,1.39894,0.000119322,0.000119322,0.000119322
